Date,Southern (copies/mL),Northern (copies/mL)
1/8/2020,0,0
1/11/2020,0,0
1/14/2020,0,0
1/17/2020,0,0
1/21/2020,0,0
1/24/2020,0,0
1/28/2020,0,0
1/31/2020,0,0
2/4/2020,0,0
2/7/2020,0,0
2/11/2020,0,0
2/14/2020,0,0
2/18/2020,0,0
2/21/2020,0,0
2/25/2020,0,0
2/28/2020,0,0
3/3/2020,,7
3/6/2020,,12
3/7/2020,,2
3/8/2020,,33
3/9/2020,22,5
3/10/2020,,12
3/11/2020,15,22
3/12/2020,,5
3/13/2020,,12
3/14/2020,18,16
3/15/2020,21,23
3/16/2020,36,31
3/17/2020,28,32
3/18/2020,15,16
3/22/2020,90,154
3/23/2020,,140
3/24/2020,22,87
3/25/2020,,17
3/26/2020,156,38
3/29/2020,181,144
3/31/2020,94,147
4/2/2020,142,187
4/6/2020,296,366
4/8/2020,361,324
4/13/2020,312,343
4/14/2020,,380
4/15/2020,98,181
4/16/2020,108,246
4/21/2020,226,345
4/22/2020,118,111
4/26/2020,109,
4/27/2020,70,211
4/28/2020,,155
4/30/2020,,83
5/2/2020,146,80
5/4/2020,74,75
5/5/2020,30,15
5/10/2020,78,
5/19/2020,,62
5/20/2020,39,38
5/21/2020,139,75
5/22/2020,53,44
5/23/2020,49,33
5/24/2020,47,29
5/25/2020,60,25
5/26/2020,63,39
5/27/2020,35,31
5/28/2020,19,31
5/29/2020,57,
5/30/2020,55,33
5/31/2020,53,40
6/1/2020,37,45
6/2/2020,25,29
6/3/2020,27,22
6/4/2020,36,32
6/5/2020,14,34
6/6/2020,22,17
6/7/2020,22,16
6/8/2020,20,53
6/9/2020,31,24
6/10/2020,8,26
6/11/2020,22,31
6/12/2020,18,29
6/13/2020,14,28
6/14/2020,11,27
6/15/2020,13,22
6/16/2020,22,14
6/17/2020,18,25
6/18/2020,11,34
6/19/2020,15,26
6/20/2020,22,24
6/21/2020,25,21
6/22/2020,17,6
6/23/2020,12,10
6/24/2020,8,14
6/25/2020,9,13
6/26/2020,20,14
6/27/2020,8,18
6/28/2020,17,14
6/29/2020,12,23
6/30/2020,17,27
7/1/2020,47,28
7/2/2020,21,40
7/3/2020,32,15
7/4/2020,12,14
7/5/2020,18,31
7/6/2020,24,35
7/7/2020,14,30
7/8/2020,28,22
7/9/2020,12,33
7/10/2020,,22
7/11/2020,31,42
7/12/2020,24,30
7/13/2020,17,30
7/14/2020,33,24
7/15/2020,24,24
7/16/2020,22,38
7/17/2020,39,26
7/18/2020,24,36
7/19/2020,27,16
7/20/2020,10,
7/21/2020,28,18
7/22/2020,12,19
7/23/2020,21,47
7/24/2020,19,33
7/25/2020,12,27
7/26/2020,25,25
7/28/2020,24,21
7/30/2020,24,66
8/2/2020,90,89
8/3/2020,61,
8/4/2020,54,35
8/5/2020,22,39
8/6/2020,17,34
8/9/2020,35,52
8/11/2020,22,48
8/13/2020,15,38
8/16/2020,22,37
8/18/2020,42,73
8/20/2020,29,50
8/23/2020,18,32
8/25/2020,27,41
8/27/2020,32,50
8/30/2020,40,52
